pers_id,sentence_date,release_date,crime_type,ed_level
220,29oct2008,09dec2010,Drug,Less than high school
545,02dec2007,24aug2010,Drug,High school degree
870,14apr2008,12oct2010,Violent,Associate degree
1090,18sep2008,17feb2010,Drug,Some college
1090,18sep2008,17feb2010,Public,Some college
1415,19may2007,17mar2010,Property,Less than high school
1740,28aug2009,14sep2010,Drug,Bachelor's degree or higher'
2285,25jul2008,06sep2010,Violent,Associate degree
2610,22mar2010,04jul2010,Property,Associate degree
3155,15jun2008,22aug2010,Violent,Associate degree
3480,04jan2009,30aug2010,Violent,High school degree
3805,17mar2008,29jun2010,Drug,High school degree
4025,11aug2008,28jan2010,Property,Less than high school
4350,19jan2009,01jul2010,Violent,High school degree
4675,19oct2007,09may2010,Drug,Associate degree
5220,17jul2010,18nov2010,Public,Bachelor's degree or higher'
5545,07mar2010,23aug2010,Violent,High school degree
6090,11apr2010,15dec2010,Property,High school degree
6415,06aug2008,16aug2010,Drug,Less than high school
6960,28oct2008,14jul2010,Drug,Bachelor's degree or higher'
7285,24nov2009,17sep2010,Property,High school degree
7610,05feb2008,29jul2010,Violent,Associate degree
7830,19nov2008,09oct2010,Drug,High school degree
8155,10aug2009,06sep2010,Drug,High school degree
8480,29apr2008,18oct2010,Violent,Less than high school
9025,08jan2009,20nov2010,Property,High school degree
9350,21mar2009,15jul2010,Property,Some college
9895,22mar2010,19aug2010,Drug,High school degree
10220,18jul2008,22dec2010,Violent,Associate degree
10545,03nov2008,24oct2010,Violent,High school degree
10765,30jul2009,10oct2010,Property,Associate degree
11090,26dec2007,15jul2010,Violent,High school degree
11415,22sep2008,18feb2010,Drug,Associate degree
11960,15apr2007,02feb2010,Drug,Less than high school
12285,23jan2008,21jul2010,Public,Less than high school
12830,17jun2007,27mar2010,Property,Bachelor's degree or higher'
13155,05jun2009,14dec2010,Property,High school degree
13700,24nov2007,31may2010,Violent,High school degree
14025,07jun2008,28aug2010,Violent,High school degree
14350,21oct2008,06feb2010,Violent,High school degree
14570,15oct2007,18mar2010,Drug,Bachelor's degree or higher'
14895,15oct2009,08nov2010,Drug,Some college
15220,18apr2009,03sep2010,Violent,Associate degree
15765,08nov2009,08oct2010,Public,Less than high school
16090,27jan2009,24mar2010,Drug,High school degree
16635,19feb2010,23jul2010,Drug,Less than high school
16960,21aug2009,13aug2010,Property,Bachelor's degree or higher'
17285,08jun2010,19nov2010,Property,Associate degree
17505,14jul2008,09dec2010,Drug,High school degree
17830,12aug2009,01dec2010,Property,High school degree
18155,14may2010,17dec2010,Property,High school degree
18700,21aug2010,12dec2010,Public,High school degree
19025,28nov2008,03apr2010,Violent,Less than high school
19570,11feb2009,25oct2010,Drug,Associate degree
19895,24apr2007,04mar2010,Violent,Bachelor's degree or higher'
20440,09oct2008,27jan2010,Violent,Less than high school
20765,09sep2007,12may2010,Violent,Less than high school
21090,27jun2009,25may2010,Public,High school degree
21310,21may2010,01dec2010,Property,Less than high school
21635,18aug2009,09feb2010,Property,High school degree
21960,09nov2008,13dec2010,Drug,High school degree
22505,15jan2010,18jul2010,Drug,High school degree
22830,12jun2009,05jan2010,Property,High school degree
23375,20mar2009,21dec2010,Violent,Associate degree
23700,21may2010,18sep2010,Property,Some college
24025,23nov2007,02may2010,Drug,High school degree
24245,,08feb2010,,High school degree
24570,13feb2010,03jul2010,Drug,Associate degree
24895,22jun2009,21jun2010,Violent,Less than high school
